City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mandurah,-32.55,115.7,65.14,62.0,37,6.08,AU,1628046551
kizukuri,40.8061,140.3861,89.94,66.0,90,5.08,JP,1628046615
san luis,-33.295,-66.3356,52.72,38.0,48,3.91,AR,1628046615
sapa,5.1544,120.3241,86.4,72.0,54,11.83,PH,1628046615
pedernales,18.0384,-71.744,80.19,76.0,94,4.79,DO,1628046616
urubicha,-15.3833,-62.95,68.7,44.0,100,3.33,BO,1628046616
plesna,50.2207,12.3467,57.51,96.0,100,6.29,CZ,1628046616
naze,28.3667,129.4833,80.11,81.0,86,15.7,JP,1628046351
tolaga bay,-38.3667,178.3,52.61,56.0,56,16.62,NZ,1628046617
kurilsk,45.2333,147.8833,58.82,86.0,99,8.37,RU,1628046618
bechem,7.0903,-2.025,68.74,99.0,96,2.35,GH,1628046618
marjamaa,58.9039,24.4306,49.98,95.0,11,3.74,EE,1628046619
severomuysk,56.1481,113.4267,52.41,76.0,95,4.94,RU,1628046324
salta,-24.7859,-65.4117,53.58,61.0,65,1.99,AR,1628046619
kavieng,-2.5744,150.7967,84,71.0,19,2.8,PG,1628046620
sangar,63.9242,127.4739,74.43,43.0,0,3.38,RU,1628046620
teahupoo,-17.8333,-149.2667,75.16,78.0,7,13.53,PF,1628046620
pacifica,37.6138,-122.4869,78.8,89.0,20,3,US,1628046419
baijiantan,45.6333,85.1833,90.91,11.0,100,2.13,CN,1628046621
pajapan,18.25,-94.7,76.93,89.0,60,5.26,MX,1628046621
colares,38.7992,-9.4469,68.29,80.0,100,10,PT,1628046622
nemuro,43.3236,145.575,66.49,94.0,91,7.18,JP,1628046622
buraydah,26.326,43.975,84.42,14.0,6,7.05,SA,1628046351
kashirskoye,51.4194,39.6125,61.02,74.0,47,6.87,RU,1628046623
takaungu,-3.6837,39.8566,72.97,87.0,73,9.82,KE,1628046623
akonolinga,3.7667,12.25,66.87,99.0,100,2.53,CM,1628046623
bandarbeyla,9.4942,50.8122,79.45,68.0,4,25.88,SO,1628046624
sioux falls,43.55,-96.7003,69.89,80.0,96,8.01,US,1628046573
broken hill,-31.95,141.4333,57.18,52.0,13,17.11,AU,1628046520
dryden,49.7833,-92.7503,71.42,46.0,85,3.06,CA,1628046625
sim,54.993,57.6982,72.3,61.0,64,1.86,RU,1628046625
pallasovka,50.05,46.8833,77.4,37.0,83,5.44,RU,1628046626
tigil,57.8,158.6667,53.69,54.0,100,11.63,RU,1628046626
yunyang,33.4474,112.7142,87.12,63.0,82,6.22,CN,1628046626
tuy hoa,13.0833,109.3,89.28,56.0,100,16.8,VN,1628046627
vila franca do campo,37.7167,-25.4333,72.01,91.0,26,3.53,PT,1628046627
ugoofaaru,5.6667,73,82.22,76.0,100,6.87,MV,1628046627
margate,51.3813,1.3862,55.31,74.0,1,3.78,GB,1628046628
camacha,33.0833,-16.3333,67.53,68.0,40,11.5,PT,1628046628
marawi,7.9986,124.2928,82.65,52.0,75,6.02,PH,1628046628
jinzhou,41.1078,121.1417,75.51,87.0,100,7.23,CN,1628046526
zhigansk,66.7697,123.3711,71.87,36.0,0,11.79,RU,1628046629
verkhnyaya inta,65.9811,60.3094,68.99,62.0,69,7.49,RU,1628046629
nortelandia,-14.4547,-56.8028,69.75,45.0,91,1.77,BR,1628046630
chitapur,17.1167,77.0833,78.89,71.0,69,17.34,IN,1628046630
saint-joseph,-21.3667,55.6167,64.78,86.0,97,17.96,RE,1628046630
bonavista,48.6499,-53.1147,62.11,83.0,30,17.27,CA,1628046631
gushikawa,26.3544,127.8686,87.03,89.0,75,26.46,JP,1628046631
hami,42.8,93.45,88.83,13.0,60,2.51,CN,1628046632
cheremukhovo,60.3484,59.9851,65.59,84.0,80,3.76,RU,1628046632
chernyanka,50.9409,37.8069,61.11,80.0,2,3.09,RU,1628046632
mizque,-17.941,-65.3402,51.8,80.0,90,3.29,BO,1628046633
pangkalanbuun,-2.6833,111.6167,88.61,56.0,82,5.44,ID,1628046633
barra,-11.0894,-43.1417,71.29,53.0,35,7.81,BR,1628046633
pueblo nuevo,23.3833,-105.3833,57.07,96.0,99,3.49,MX,1628046634
dunedin,-45.8742,170.5036,48.79,47.0,78,14,NZ,1628046292
shar,49.5886,81.0453,76.62,41.0,70,5.06,KZ,1628046634
secu,44.4667,23.3,68.29,58.0,12,4.97,RO,1628046634
adrar,20.5022,-10.0711,87.04,41.0,5,10.49,MR,1628046440
concordia,-31.393,-58.0209,50.23,74.0,100,5.79,AR,1628046635
souillac,-20.5167,57.5167,66.36,76.0,20,10.25,MU,1628046635
port augusta,-32.5,137.7667,62.74,50.0,28,10.65,AU,1628046635
avera,33.194,-82.5271,75.07,78.0,35,5.64,US,1628046636
caravelas,-17.7125,-39.2481,68.14,84.0,67,5.17,BR,1628046636
baherden,38.4362,57.4316,91.51,20.0,3,7.92,TM,1628046637
jiaozuo,35.2397,113.2331,88.34,57.0,100,5.53,CN,1628046637
narsaq,60.9167,-46.05,44.82,97.0,100,3.42,GL,1628046638
beaufort,5.3473,115.7455,90.1,53.0,98,3.51,MY,1628046638
juba,4.8517,31.5825,67.68,96.0,50,2.77,SS,1628046638
guasdualito,7.2424,-70.7324,71.85,93.0,100,2.37,VE,1628046638
siero,43.3833,-5.6667,64.83,94.0,100,2.42,ES,1628046639
kerchevskiy,59.946,56.2884,65.1,96.0,86,5.08,RU,1628046640
mamallapuram,12.6264,80.1722,89.65,57.0,100,16.87,IN,1628046640
kruisfontein,-34.0033,24.7314,48.88,84.0,1,7.11,ZA,1628046384
srivardhan,18.0333,73.0167,80.31,84.0,99,12.8,IN,1628046640
sorong,-0.8833,131.25,82.09,78.0,61,3.89,ID,1628046641
nexo,55.0607,15.1306,51.89,67.0,100,6.26,DK,1628046641
banda aceh,5.5577,95.3222,85.32,63.0,100,13.51,ID,1628046641
darab,28.7519,54.5444,87.51,32.0,0,2.77,IR,1628046642
strezhevoy,60.7333,77.5889,60.78,84.0,63,4.45,RU,1628046642
shimoda,34.6667,138.95,89.1,74.0,20,5.79,JP,1628046642
los llanos de aridane,28.6585,-17.9182,67.75,85.0,90,16.11,ES,1628046435
sobolevo,54.4299,31.8996,52.59,91.0,9,3.76,RU,1628046422
bolshaya glushitsa,50.2406,43.5908,68.63,84.0,100,5.48,RU,1628046643
pokrovsk,48.282,37.1758,62.8,84.0,61,5.88,UA,1628046643
two hills,53.7169,-111.7518,71.01,62.0,4,7.45,CA,1628046644
ulagan,50.6321,87.9563,70.02,53.0,90,0.22,RU,1628046644
hulyaypole,47.6653,36.2578,64.38,72.0,100,5.86,UA,1628046644
muros,42.7762,-9.0603,67.98,95.0,89,3.74,ES,1628046645
balgazyn,51,95.2,75.63,36.0,24,1.95,RU,1628046645
kharan,28.5833,65.4167,87.1,12.0,2,5.84,PK,1628046646
saint-pierre,-21.3393,55.4781,65.88,90.0,75,18.41,RE,1628046646
ongandjera,-17.8833,15.0667,55.02,65.0,0,8.9,NA,1628046648
baykit,61.67,96.37,76.1,52.0,92,4.43,RU,1628046404
makat,47.6469,53.3463,90.3,20.0,26,4.88,KZ,1628046649
tura,25.5198,90.2201,79.47,85.0,100,4.16,IN,1628046649
matagami,49.7502,-77.6328,46.45,85.0,33,3.65,CA,1628046649
ulan-ude,51.8261,107.6098,66.09,72.0,75,2.24,RU,1628046650
kinablangan,7.6947,126.5503,86.88,68.0,100,7.94,PH,1628046650
puerto maldonado,-12.6,-69.1833,67.69,51.0,39,1.83,PE,1628046650
bosansko grahovo,44.1794,16.3639,62.64,66.0,64,4.16,BA,1628046651
manitouwadge,49.1215,-85.8403,58.91,77.0,30,3.31,CA,1628046651
nuuk,64.1835,-51.7216,47.01,93.0,90,10.36,GL,1628046652
san francisco,37.7749,-122.4194,79.3,86.0,20,10,US,1628046635
maningrida,-12.0667,134.2667,88.81,39.0,87,12.62,AU,1628046378
tuatapere,-46.1333,167.6833,46.81,61.0,100,2.77,NZ,1628046495
upata,8.0086,-62.3989,70.2,99.0,100,2.59,VE,1628046653
oktyabrskoye,43.0645,44.7417,69.57,65.0,5,5.79,RU,1628046653
columbus,39.9612,-82.9988,69.71,72.0,1,4.61,US,1628046564
mehran,33.1222,46.1646,87.28,14.0,6,4.81,IR,1628046653
oriental,19.3667,-97.6167,57.27,88.0,79,5.7,MX,1628046654
katsuura,35.1333,140.3,91.51,68.0,5,5.93,JP,1628046654
wau,7.7029,27.9953,67.5,95.0,93,2.8,SS,1628046654
mudon,16.2578,97.7164,80.87,85.0,100,7.87,MM,1628046655
maceio,-9.6658,-35.7353,71.04,100.0,90,5.75,BR,1628046511
krasnoselkup,65.7,82.4667,67.39,72.0,15,7.23,RU,1628046507
capelinha,-17.6914,-42.5158,54.46,80.0,94,2.86,BR,1628046655
kalmunai,7.4167,81.8167,84.65,61.0,97,3.85,LK,1628046656
zambezi,-13.5432,23.1047,50.14,50.0,0,4.29,ZM,1628046656
xuddur,4.1213,43.8894,69.48,83.0,98,16.31,SO,1628046657
jaragua do sul,-26.4861,-49.0667,57.88,98.0,46,1.3,BR,1628046640
baie-saint-paul,47.4411,-70.4986,62.98,89.0,22,4,CA,1628046657
kutum,14.2,24.6667,70.7,77.0,54,10.02,SD,1628046657
salinopolis,-0.6136,-47.3561,78.33,79.0,60,3.78,BR,1628046658
fort nelson,58.8053,-122.7002,70.38,69.0,74,9.62,CA,1628046658
chhindwara,22.0667,78.9333,75.15,82.0,89,16.06,IN,1628046429
la ronge,55.1001,-105.2842,60.85,96.0,100,3.53,CA,1628046658
novikovo,51.1537,37.8879,61.43,78.0,2,3.6,RU,1628046659
sorbhog,26.5,90.8667,84.31,78.0,100,0.56,IN,1628046659
le vauclin,14.5452,-60.8388,79.84,83.0,20,4.61,MQ,1628046659
jaque,7.5175,-78.1703,78.44,87.0,100,2.75,PA,1628046660
oistins,13.0667,-59.5333,80.69,78.0,40,11.5,BB,1628046660
fortuna,40.5982,-124.1573,57.85,73.0,90,3,US,1628046660
rio esteban,15.8333,-86.3,82,88.0,63,7.49,HN,1628046661
high rock,26.6208,-78.2833,83.19,70.0,100,7.81,BS,1628046661
whitehorse,60.7161,-135.0538,71.02,40.0,72,8.99,CA,1628046661
codrington,-38.2667,141.9667,55.36,86.0,88,18.52,AU,1628046661
watertown,42.3709,-71.1828,70,83.0,1,5.01,US,1628046551
balagunan,7.4922,125.5211,89.38,56.0,100,4.38,PH,1628046663
blue springs,39.0169,-94.2816,71.85,80.0,1,0,US,1628046663
tutoia,-2.7619,-42.2744,77.25,82.0,10,5.14,BR,1628046663
kabare,-2.4683,28.8242,59.76,76.0,94,0.36,CD,1628046664
belyy yar,53.6039,91.3903,69.69,73.0,0,2.24,RU,1628046381
lodja,-3.4833,23.4333,67.89,48.0,2,1.52,CD,1628046665
hillside,40.7012,-74.2301,71.98,72.0,1,0,US,1628046665
nizhnevartovsk,60.9344,76.5531,60.82,100.0,0,4.47,RU,1628046666
aswan,24.0934,32.907,88.81,16.0,33,4.9,EG,1628046666
lasa,46.6166,10.7002,57.02,94.0,100,2.64,IT,1628046386
kawambwa,-9.7915,29.0791,55.53,54.0,0,6.51,ZM,1628046666
makasar,-5.14,119.4221,89.65,40.0,20,6.91,ID,1628046665
edson,53.5835,-116.4356,68.59,61.0,89,3.87,CA,1628046667
alyangula,-13.8483,136.4192,79.25,55.0,43,18.63,AU,1628046668
inndyr,67.0338,14.0276,50.65,84.0,99,8.01,NO,1628046668
dickinson,29.4608,-95.0513,84.27,87.0,90,3.44,US,1628046668
havelock,34.8791,-76.9013,72.93,97.0,100,7,US,1628046669
saint george,37.1041,-113.5841,99.25,14.0,1,4,US,1628046669
cidreira,-30.1811,-50.2056,57.76,89.0,100,1.95,BR,1628046416
lianran,24.9227,102.485,76.03,54.0,0,4.25,CN,1628046670
muyezerskiy,63.9333,31.65,46.11,93.0,100,17,RU,1628046670
buluang,13.3068,123.3425,87.67,68.0,100,13.96,PH,1628046670
biak,-0.9131,122.8766,80.6,71.0,98,10.54,ID,1628046671
itarantim,-15.6597,-40.0656,64.94,84.0,100,2.84,BR,1628046671
matara,5.9485,80.5353,81.19,79.0,100,11.56,LK,1628046447
dwarka,22.2394,68.9678,81.97,81.0,100,21.9,IN,1628046672
burnie,-41.0667,145.9167,52.93,69.0,64,12.3,AU,1628046672
sur,22.5667,59.5289,87.39,65.0,26,4.92,OM,1628046673
yekimovichi,54.1129,33.2965,53.33,88.0,9,4.36,RU,1628046673
camopi,3.1655,-52.3158,71.51,97.0,69,1.77,GF,1628046673
homa bay,-0.5273,34.4571,66.24,70.0,99,3.2,KE,1628046674
kemin,42.7846,75.6892,81.45,25.0,2,2.84,KG,1628046674
thakurganj,26.45,88.1333,83.64,82.0,100,11.43,IN,1628046675
algeciras,36.1333,-5.4505,69.57,88.0,99,1.61,ES,1628046675
yar-sale,66.8333,70.8333,65.61,65.0,80,11.18,RU,1628046415
rio grande,-32.035,-52.0986,51.94,92.0,9,1.19,BR,1628046468
pudozh,61.8099,36.5345,53.94,85.0,100,12.1,RU,1628046676
qeshm,26.9581,56.2719,91.27,75.0,2,5.97,IR,1628046676
jati,24.3539,68.2671,82.96,69.0,100,22.44,PK,1628046677
nelson bay,-32.7167,152.15,60.85,46.0,6,5.01,AU,1628046677
krasnogorsk,55.8225,37.3181,59.97,82.0,0,4.47,RU,1628046677
tahe,52.3333,124.7333,66.72,78.0,100,2.24,CN,1628046678
gigmoto,13.7796,124.39,87.21,68.0,100,16.06,PH,1628046678
puerto escondido,15.85,-97.0667,83.23,69.0,90,0,MX,1628046391
yerbogachen,61.2767,108.0108,75.97,45.0,70,8.95,RU,1628046679
sarangani,5.4033,125.4636,84.63,70.0,100,10.71,PH,1628046679
peace river,56.2501,-117.286,74.91,45.0,39,8.7,CA,1628046679
lantana,26.5867,-80.052,75.24,94.0,75,8.05,US,1628046680
rondonopolis,-16.4708,-54.6356,71.78,38.0,68,3.18,BR,1628046680
ozark,37.0209,-93.206,72.01,88.0,97,4.79,US,1628046680
aleksandrov gay,50.147,48.5704,87.31,15.0,78,6.64,RU,1628046681
teya,60.3778,92.6267,70.61,54.0,96,1.59,RU,1628046681
bosaso,11.2842,49.1816,88.23,41.0,61,23.15,SO,1628046681
lichtenburg,-26.152,26.1597,45.5,71.0,0,9.51,ZA,1628046682
mahon,39.8885,4.2658,70.36,88.0,0,5.75,ES,1628046682
santa rosa,14.3122,121.1114,89.1,67.0,100,17.34,PH,1628046682
darhan,49.4867,105.9228,67.51,61.0,91,4.47,MN,1628046683
talalayivka,50.9578,31.9209,59.56,67.0,14,2.39,UA,1628046683
sakaiminato,35.55,133.2333,94.93,64.0,67,7.99,JP,1628046683
huarmey,-10.0681,-78.1522,64.71,86.0,1,9.35,PE,1628046684
wagar,16.1525,36.2032,76.3,74.0,81,9.98,SD,1628046684
lodwar,3.1191,35.5973,77.38,50.0,18,17.92,KE,1628046684
tiznit,29.5833,-9.5,63.81,84.0,55,1.3,MA,1628046685
